,0,1,2,3,4,5,6,7,8,9
0,733,25,10,3,21,38,46,21,17,42
1,79,299,25,2,17,5,85,9,7,6
2,53,22,102,0,5,5,32,16,6,15
3,16,3,2,266,28,14,4,3,49,21
4,67,9,4,13,463,14,15,16,13,27
5,129,3,2,1,15,90,3,2,21,37
6,54,34,18,1,14,4,202,27,0,10
7,63,21,10,4,15,4,52,165,6,23
8,82,5,5,44,37,45,3,14,747,43
9,94,1,3,2,22,22,2,6,14,221
