,0,1,2,3,4,5,6,7,8,9
0,702,62,14,13,31,33,37,16,34,14
1,84,340,9,8,14,6,35,14,20,4
2,49,43,118,1,10,5,15,5,7,3
3,19,7,0,265,15,3,3,0,88,6
4,78,26,6,20,430,8,14,15,34,10
5,138,5,4,6,13,71,4,4,44,14
6,67,45,15,7,12,4,175,25,8,6
7,70,44,11,5,10,3,35,159,21,5
8,82,5,7,32,15,11,2,7,851,13
9,115,6,8,3,26,18,3,10,44,154
