,0,1,2,3,4,5,6,7,8,9
0,713,42,13,4,43,20,22,23,31,45
1,82,330,17,3,25,2,46,11,10,8
2,34,31,126,0,11,2,17,11,5,19
3,12,10,0,245,34,1,2,2,90,10
4,69,12,5,6,490,0,5,13,14,27
5,137,3,2,3,31,40,0,2,48,37
6,48,57,16,1,16,1,168,45,3,9
7,70,32,12,3,25,0,48,138,15,20
8,55,5,5,25,51,12,1,5,813,53
9,86,1,4,1,46,0,0,4,21,224
