modelo,accuracy,precision,recall,f1,tempo_segundos
baseline,0.6280802292263611,0.6451107663688251,0.6280802292263611,0.6284453615789233,209.3449137210846
dropout,0.6278892072588348,0.6312804584086498,0.6278892072588348,0.6160767872967589,309.8449625968933
