,0,1,2,3,4,5,6,7,8,9
0,745,38,9,2,27,2,29,35,44,25
1,105,277,19,0,24,0,67,24,15,3
2,58,20,114,0,5,0,24,14,11,10
3,26,5,0,204,45,1,3,4,110,8
4,82,8,3,4,460,1,6,26,24,27
5,180,0,1,2,11,11,0,8,68,22
6,71,57,18,0,9,0,145,59,4,1
7,79,17,12,0,13,0,46,177,11,8
8,56,6,6,18,23,5,2,23,856,30
9,154,0,7,1,18,3,0,18,42,144
