epoca,accuracy,loss,val_accuracy,val_loss
0,0.7922592759132385,0.585992693901062,0.7508333325386047,0.6814637780189514
1,0.857629656791687,0.38959068059921265,0.8970000147819519,0.28283265233039856
2,0.877740740776062,0.33544090390205383,0.9068333506584167,0.2527281939983368
3,0.8867037296295166,0.31000375747680664,0.9125000238418579,0.24727843701839447
4,0.895814836025238,0.285865843296051,0.9131666421890259,0.2430303692817688
