,0,1,2,3,4,5,6,7,8,9
0,735,55,7,11,39,14,27,19,22,27
1,78,344,15,9,22,4,43,7,8,4
2,48,62,82,1,9,2,23,12,7,10
3,27,12,0,273,20,2,3,5,50,14
4,73,26,3,19,462,4,12,10,9,23
5,147,5,0,10,14,59,1,6,26,35
6,61,73,11,2,15,1,159,33,6,3
7,52,38,17,4,18,2,50,156,8,18
8,76,10,3,54,56,20,6,15,740,45
9,110,6,9,4,28,5,4,9,25,187
