,0,1,2,3,4,5,6,7,8,9
0,664,35,14,3,73,36,29,33,31,38
1,71,321,19,5,31,2,47,19,11,8
2,22,16,148,1,9,3,23,16,5,13
3,23,2,1,242,46,2,1,3,80,6
4,38,5,4,11,537,4,7,12,15,8
5,96,2,3,4,29,66,2,9,59,33
6,49,30,20,3,15,3,179,58,4,3
7,45,14,15,1,19,3,33,208,8,17
8,32,1,5,33,62,8,6,11,829,38
9,71,1,13,2,54,12,1,7,44,182
